# schema=1
# action-id<TAB>module<TAB>profiles<TAB>disposition<TAB>privilege<TAB>handler<TAB>target<TAB>applicability<TAB>conflict-set<TAB>requires<TAB>rollback<TAB>post-check<TAB>purpose<TAB>evidence
base-network-handoff	base-preconditions	all	verify	none	verify-network-handoff	NetworkManager.service	always	-	-	No change is made	NetworkManager active plus DNS and official mirror reachability query succeeds without reading saved connection data	Verify the user-completed post-first-boot network handoff without taking ownership of Wi-Fi secrets	docs/confirmed-decisions.md:77-93
base-package-preconditions	base-preconditions	all	verify	none	verify-policy-packages	workstation:verify-only	always	-	base-network-handoff	No change is made	Every selected verify-only package query is successful and exact; failed query is unavailable	Verify manual base boot and network packages before any changing stage	docs/confirmed-decisions.md:316-355
failed-unit-baseline	base-preconditions	all	verify	none	verify-failed-units	system,user	always	-	base-network-handoff	No change is made	System and user failed-unit JSON queries succeed; successful empty arrays remain successful evidence	Preserve a clean failure baseline without treating a failed query as empty	docs/phase-c-plan.md:283-284
time-sync-service	base-preconditions	all	apply	root	enable-system-unit	systemd-timesyncd.service	always	ntp-owner-conflicts	base-network-handoff	Restore the recorded enabled and active booleans only; never remove competing packages	Unit enabled and active and timedatectl reports a synchronized or explicitly still-synchronizing state	Reproduce the manual time synchronization service with a single-owner conflict gate	private-manual:733-737
audio-package-activation	audio	all	verify	none	verify-package-owned-audio	pipewire.socket,pipewire-pulse.socket,wireplumber.service	always	pipewire-owner-conflicts	base-package-preconditions	Restore only prior global or user unit links if a later separately reviewed recovery needs it	Package-owned global units are enabled and the current session reports PipeWire and WirePlumber when a session exists	Preserve official package hook activation and never add ad-hoc per-user enables	docs/confirmed-decisions.md:528-536
portal-package-activation	desktop-shared	all	verify	none	verify-package-owned-portals	selected-wm-portal-set	graphical-session-optional	portal-override-conflicts	base-package-preconditions	Restore only a backed-up pre-existing override; never invent a global override	Package set is exact; when logged in the selected backend and broker own D-Bus and manual chooser screenshot sharing remain listed	Keep package-owned session-specific Portal preferences and no global override	docs/confirmed-decisions.md:502-517
fcitx-session-owner	input-fcitx-rime	all	verify	none	verify-session-owner	fcitx5	graphical-session-optional	-	base-package-preconditions	Restore mapped session configuration backup	At clean login exactly one package-XDG Niri owner or guarded plain-Hyprland process exists	Keep exactly one Fcitx5 startup owner per selected session	docs/confirmed-decisions.md:519-526
blueman-session-owner	bluetooth	asus-amd-nvidia,desktop-amd	verify	none	verify-session-owner	blueman-applet	graphical-session-optional	-	base-package-preconditions	Restore mapped Hyprland configuration backup	At clean login exactly one package-XDG Niri owner or guarded plain-Hyprland process exists	Keep exactly one Blueman startup owner without adding a Niri compositor command	docs/phase-c-plan.md:353-362
bluetooth-service	bluetooth	asus-amd-nvidia,desktop-amd	apply	root	enable-system-unit	bluetooth.service	bluetooth-controller-optional	-	base-package-preconditions	Restore recorded enabled and active booleans; never remove BlueZ state or paired devices	With a controller the unit and org.bluez are active and bluetoothctl show succeeds; no controller is not-applicable only after a successful recognized query	Enable the selected BlueZ daemon only on a hardware-applicable physical profile	docs/phase-c-plan.md:353-367
power-profiles-service	power	asus-amd-nvidia,desktop-amd	apply	root	enable-system-unit	power-profiles-daemon.service	power-profiles-supported	power-owner-conflicts	base-package-preconditions	Restore recorded enabled and active booleans; never install or remove a competing owner	Unit and D-Bus are active and available profiles are listed without copying a temporary source-host profile	Enable the confirmed single power policy owner on physical profiles	docs/phase-c-plan.md:369-383
dms-niri-session-wants	wm-niri	all	apply	user	add-user-wants	niri.service:dms.service	niri-selected	-	base-package-preconditions	Remove only the wants link created by this run or restore its recorded prior target	The exact niri.service.wants/dms.service link exists and a clean Niri login has one DMS process and notification owner	Connect the official DMS user service to the packaged Niri session lifecycle	docs/handoff-20260730.md:423-432
dsearch-user-service	desktop-shared	all	apply	user	enable-user-unit	dsearch.service	dsearch-installed	-	base-package-preconditions	Restore recorded user enabled and active booleans; preserve the search index	Unit enabled and active and its local service query succeeds	Restore the golden-host DMS search service required by reviewed Danksearch configuration	manifests/workstation-packages.tsv:43
personal-user-unit-reload	personal-user-services	asus-amd-nvidia	apply	user	daemon-reload-user	mapped-user-units	files-deployed	-	base-package-preconditions	Restore mapped unit files from config backup and run user daemon-reload again	All four mapped unit files pass systemd-analyze --user verify; none is enabled or started automatically	Load restored personal unit definitions without taking ownership of secrets or activation	manifests/personal-config-candidates.tsv:28-31
docker-service	container-tools	asus-amd-nvidia,desktop-amd	apply	root	enable-system-unit	docker.service	package-installed	-	base-package-preconditions	Restore recorded service and socket enabled and active booleans; preserve all Docker data	Docker service is enabled and active; docker info is manual until group or sudo access is explicitly available	Restore the current rootful Docker daemon while leaving root-equivalent group membership manual	manifests/workstation-packages.tsv:39-40
libvirtd-service	virtualization	asus-amd-nvidia,desktop-amd	apply	root	enable-system-unit	libvirtd.service	package-installed	libvirt-daemon-model-conflicts	base-package-preconditions	Restore recorded libvirtd service and socket booleans; preserve every domain volume and network	libvirtd is enabled and active and qemu:///system responds	Use the same reviewed monolithic libvirtd model as the manual and golden host	private-manual:1118-1130
libvirt-default-network	virtualization	asus-amd-nvidia,desktop-amd	apply	root	ensure-libvirt-network	default	libvirtd-ready	-	libvirtd-service	Restore prior active and autostart booleans; undefine only when a separately reviewed manual rollback confirms this run created it	The default network exists persistent active and autostart using the official package-owned XML when definition was needed	Provide the manual default NAT network without modifying unrelated libvirt networks	private-manual:1132-1139
locale-zh-cn	input-fcitx-rime	asus-amd-nvidia,desktop-amd	apply	root	manage-locale	en_US.UTF-8,zh_CN.UTF-8	physical-input-selected	-	base-package-preconditions	Restore the exact backed-up locale.gen and locale.conf then rerun locale-gen	locale -a contains both locales and locale.conf contains only the reviewed LANG and LC_CTYPE values; relogin remains required	Manage only the confirmed Chinese locale lines and defaults on physical input profiles	docs/confirmed-decisions.md:416-421
fcitx-system-environment	input-fcitx-rime	all	apply	root	manage-environment	QT_IM_MODULE=fcitx,XMODIFIERS=@im=fcitx	input-selected	-	base-package-preconditions	Restore the exact backed-up environment file and require relogin	The two reviewed values are present exactly once and GTK_IM_MODULE is not globally forced	Provide Fcitx variables while preserving Wayland text-input behavior	private-manual:627-658
kernel-dkms-verification	kernel-support	asus-amd-nvidia,desktop-amd	verify	none	verify-kernel-support	detected-kernels	physical-kernel	-	base-package-preconditions	No automatic kernel DKMS initramfs boot or package rollback	Every detected manually selected kernel has matching headers and DKMS build evidence; reboot and graphics remain manual	Verify but never choose kernels or rewrite the user's boot boundary	docs/confirmed-decisions.md:397-414
asusd-package-activation	asus-hardware	asus-amd-nvidia	verify	none	verify-package-activation	asusd.service	exact-asus-hardware	-	base-package-preconditions	No automatic service or hardware-mode rollback	Static package-activated unit and D-Bus are reported; physical controls remain manual	Observe the package-owned ASUS daemon without trying to enable a static unit	docs/phase-c-plan.md:428-440
supergfxd-physical-service	asus-hardware	asus-amd-nvidia	manual	root	report-manual	supergfxd.service	exact-asus-hardware	-	asusd-package-activation	Restore prior unit state and reviewed GPU mode through a separately approved physical recovery plan	Physical GPU mode reboot outputs and suspend resume must be checked on the ASUS host	Keep hybrid GPU service activation manual until the timed-out preset probe and physical mode transition are proven	docs/phase-c-plan.md:428-440
snapper-configs	storage-maintenance	asus-amd-nvidia,desktop-amd	manual	root	report-manual	root,home	btrfs-root-home	-	base-package-preconditions	Never delete configs subvolumes or snapshots automatically	Existing configs are reported; missing configs require a separate create-config review	Keep filesystem snapshot creation outside the automatic workstation restore	private-manual:753-804
snapper-timers	storage-maintenance	asus-amd-nvidia,desktop-amd	manual	root	report-manual	snapper-timeline.timer,snapper-cleanup.timer	btrfs-root-home	-	snapper-configs	Restore prior overrides and unit booleans without deleting snapshots	Exact retention and calendar policy must be approved before enablement	Do not guess the source host's retention policy	private-manual:806-829
grub-btrfs-recovery	storage-maintenance	asus-amd-nvidia,desktop-amd	deferred	root	report-deferred	grub-btrfsd.service	manual-boot-boundary	-	snapper-configs	Use bootable snapshot or rescue media and restore reviewed GRUB backups	Snapshot boot menu normal boot and permanent recovery require manual acceptance	Never run grub-mkconfig or alter the user's boot chain in the one-click workflow	docs/confirmed-decisions.md:404-414
docker-group-membership	container-tools	asus-amd-nvidia,desktop-amd	manual	root	report-manual	docker	root-equivalent-group	-	docker-service	Remove only a membership added by a separately approved manual action and relogin	Boolean group membership and docker info after relogin	Leave root-equivalent Docker group consent outside automatic apply	manifests/workstation-packages.tsv:39
libvirt-group-membership	virtualization	asus-amd-nvidia,desktop-amd	manual	root	report-manual	libvirt	privileged-group	-	libvirtd-service	Remove only a membership added by a separately approved manual action and relogin	Boolean group membership and virt-manager connection after relogin	Keep account group mutation explicit and separately reversible	private-manual:1141-1149
virtualization-hugepages	virtualization	asus-amd-nvidia,desktop-amd	deferred	root	report-deferred	hugepages	workload-specific	-	libvirtd-service	Restore sysctl boot and domain XML backups through a separately reviewed plan	Allocation VM startup and memory pressure require workload-specific testing	Do not apply host-wide hugepage tuning as a generic restore default	private-manual:1171-1277
physical-hardware-acceptance	asus-hardware	asus-amd-nvidia	manual	none	report-manual	gpu,display,audio,bluetooth,power,suspend	exact-asus-hardware	-	asusd-package-activation	Follow per-module prior-state recovery; VM evidence never substitutes	Record physical display GPU audio Bluetooth AC battery suspend resume and ASUS controls separately	Keep physical-only evidence explicit rather than converting VM non-applicability into a pass	docs/confirmed-decisions.md:662-667
relogin-reboot-report	base-preconditions	all	verify	none	report-relogin-reboot	locale,groups,kernel,dkms	always	-	base-package-preconditions	No automatic reboot or relogin	Report exact reasons and rerun session acceptance after the user chooses a relogin or reboot	Never reboot by default and do not hide pending environment-dependent checks	docs/confirmed-decisions.md:376-379
greeter-login-manager	dms-greetd	all	deferred	root	report-deferred	greetd,sddm	manual-login-boundary	-	-	A future module must preserve the prior working login path	No current post-check because the action is unavailable	Keep all greetd and SDDM installation configuration and service changes outside this release	docs/confirmed-decisions.md:471-490
